name,instructions
Chlorpropamide,"Important warning: Chlorpropamide can cause prolonged and severe low blood sugar, especially in older adults, those who skip meals or drink alcohol, and people with kidney or liver problems. Know the signs of hypoglycemia and how to treat it promptly. Why is this medication prescribed? Chlorpropamide is used along with diet and exercise to improve blood sugar control in adults with type 2 diabetes. It helps your pancreas release insulin and your body use insulin more effectively. How should this medicine be used? Take chlorpropamide by mouth once daily with breakfast or your first main meal to reduce the risk of low blood sugar. Take it at the same time each day. Do not crush or split unless directed. Your doctor will adjust the dose based on your blood glucose and A1C. Check your blood sugar as instructed and do not stop or change the dose without medical advice. What special precautions should I follow? Tell your doctor about kidney or liver disease, adrenal or pituitary problems, G6PD deficiency, sulfonylurea or sulfonamide allergies, glucose-6-phosphate dehydrogenase deficiency, and if you are pregnant or breastfeeding. Avoid alcohol because it can cause a disulfiram-like reaction with flushing, nausea, and can dangerously lower blood sugar. Be cautious when driving or operating machinery until you know how this medicine affects you. Learn how to recognize and treat hypoglycemia and carry a source of fast-acting sugar. Certain medicines can increase hypoglycemia risk, including other diabetes drugs, beta blockers, salicylates, warfarin, and some antibiotics; others may raise blood sugar. Chlorpropamide can cause low sodium; report confusion, headache, or weakness. What special dietary instructions should I follow? Eat regular meals with consistent carbohydrate intake and do not skip meals. Avoid alcohol. Follow your diabetes meal plan and stay hydrated. What should I do if I forget a dose? If you miss a dose, take it as soon as you remember with food. If it is near the time of your next dose, skip the missed dose and resume your normal schedule. Do not take two doses at once. Check your blood sugar more frequently if you missed a dose and contact your clinician if levels are very high or low. What side effects can this medication cause? Common side effects include low blood sugar with sweating, shakiness, hunger, fast heartbeat, headache, and confusion, weight gain, nausea, and skin rash. Serious side effects include severe hypoglycemia, low sodium with confusion or seizures, liver problems with yellowing of the skin or eyes or dark urine, and allergic reactions with swelling or difficulty breathing. Seek urgent care for severe reactions."
Chlorthalidone,"Why is this medication prescribed? Chlorthalidone is a thiazide-like diuretic used to treat high blood pressure and swelling due to heart failure, liver disease, or kidney disorders. Lowering blood pressure helps prevent strokes, heart attacks, and kidney problems. How should this medicine be used? Take chlorthalidone by mouth once daily in the morning to limit nighttime urination. It may be taken with food if it upsets your stomach. Take it at the same time each day and continue even if you feel well. Your doctor may adjust the dose based on your blood pressure, kidney function, and electrolytes. What special precautions should I follow? Tell your doctor about kidney or liver disease, gout, lupus, diabetes, high cholesterol or triglycerides, and if you are pregnant or breastfeeding. This medicine can cause low potassium, low sodium, dehydration, and increased uric acid and blood sugar. Report dizziness, muscle cramps, extreme thirst, confusion, or irregular heartbeat. Rise slowly from sitting to reduce dizziness. Use caution with other blood pressure medicines, lithium, digoxin, and NSAIDs. Protect skin from sun due to increased sensitivity. What special dietary instructions should I follow? Follow your prescribed low-salt diet. Your doctor may recommend potassium-rich foods or a supplement if appropriate. Stay well hydrated unless otherwise directed and limit alcohol, which can worsen dizziness. What should I do if I forget a dose? Take it as soon as you remember unless it is late in the day; if so, skip the missed dose to avoid nighttime urination and take the next dose at the regular time. Do not take two doses at once. What side effects can this medication cause? Common side effects include increased urination, dizziness, lightheadedness, headache, and mild gastrointestinal upset. It can cause low potassium or sodium, high uric acid leading to gout, higher blood sugar, muscle cramps, photosensitivity rash, and, rarely, pancreatitis or severe electrolyte abnormalities. Seek medical attention for fainting, severe weakness, irregular heartbeat, or severe abdominal pain."
Chlorzoxazone,"Important warning: Rare but severe liver injury, including liver failure, has occurred with chlorzoxazone. Stop the medicine and seek medical care immediately if you develop yellowing of the skin or eyes, dark urine, severe fatigue, abdominal pain, or persistent nausea. Why is this medication prescribed? Chlorzoxazone is a muscle relaxant used short term with rest and physical therapy to relieve muscle spasms and pain from acute musculoskeletal conditions. How should this medicine be used? Take chlorzoxazone by mouth as directed, usually three to four times daily. Take with food if it upsets your stomach. Use the lowest effective dose for the shortest time needed. Do not drive or perform tasks requiring alertness until you know how it affects you. What special precautions should I follow? Tell your doctor about any liver disease, alcohol use, and all medicines you take, especially other sedatives, opioids, benzodiazepines, sleep medicines, and antihistamines. Avoid alcohol, which increases drowsiness and liver risk. This medicine may discolor urine orange, red, or purple, which is usually harmless. Use caution in older adults due to increased sedation and fall risk. What special dietary instructions should I follow? There are no specific dietary requirements, but avoid alcohol while taking this medication. What should I do if I forget a dose? Take it as soon as you remember. If it is near the time for your next dose, skip the missed dose and take the next dose at the regular time. Do not take two doses at once. What side effects can this medication cause? Common side effects include drowsiness, dizziness, lightheadedness, headache, and stomach upset. Serious side effects include liver injury with yellowing of the skin or eyes, dark urine, severe fatigue, allergic reactions, or severe dizziness. Seek immediate care for signs of liver injury or severe allergic reactions."
Cholecalciferol (Vitamin D3),"Why is this medication prescribed? Vitamin D3 is used to prevent and treat vitamin D deficiency, support bone health, and as part of treatment for conditions like osteoporosis, osteomalacia, and rickets. How should this medicine be used? Take vitamin D3 by mouth exactly as directed. It may be prescribed daily, weekly, or monthly. Take it consistently with or without food; taking with a meal that contains some fat can improve absorption. Your dose is based on your blood levels and medical condition. Do not exceed the recommended dose. What special precautions should I follow? Tell your doctor if you have high calcium, kidney disease or stones, hyperparathyroidism, sarcoidosis or other granulomatous diseases, or if you are pregnant or breastfeeding. Tell your doctor about all medicines and supplements, including thiazide diuretics, steroids, anticonvulsants, orlistat, and bile acid sequestrants, which can affect vitamin D levels or absorption. Report symptoms of high calcium such as weakness, confusion, nausea, vomiting, constipation, excessive urination, or bone pain. What special dietary instructions should I follow? Follow your provider’s advice on calcium intake. Avoid taking excessive amounts of calcium or additional vitamin D products unless instructed. Maintain adequate hydration. If you use agents that reduce absorption such as orlistat or cholestyramine, separate dosing as directed by your provider. What should I do if I forget a dose? Take it as soon as you remember. If it is close to your next scheduled dose, skip the missed dose and take the next dose at the regular time. Do not take extra doses to make up for a missed one. For weekly or monthly dosing, take the missed dose when remembered unless it is very close to the next dose, then skip and resume your normal schedule. What side effects can this medication cause? Vitamin D3 is generally well tolerated. Possible side effects include nausea, constipation, and headache. High doses or sensitivity can cause high calcium with symptoms such as weakness, confusion, thirst, frequent urination, abdominal pain, bone pain, or kidney stones. Seek medical care if these occur."
Cholera Vaccine,"Why is this medication prescribed? The oral cholera vaccine helps prevent cholera caused by Vibrio cholerae O1 in travelers and others at risk. It reduces the risk of illness but does not replace safe food and water practices. How should this medicine be used? It is given as a single oral dose administered by a healthcare provider or according to the product directions at least 10 days before potential exposure. Do not eat or drink for 60 minutes before and after vaccination unless the product label directs otherwise. If you have recently taken antibiotics, vaccination may need to be scheduled at least 10 days after finishing antibiotics. What special precautions should I follow? Tell your provider if you are immunocompromised, have acute vomiting or diarrhea, are pregnant or breastfeeding, or have taken antibiotics or antimalarials recently. The vaccine organism may be shed in stool for a short time; practice good hand hygiene and dispose of diapers carefully. This vaccine does not protect against all cholera strains and is not 100 percent effective; continue to follow food and water safety measures. What special dietary instructions should I follow? Do not eat or drink for one hour before and after the oral dose unless instructed otherwise by the product directions. Maintain careful food and water hygiene during travel. What should I do if I forget a dose? If your scheduled vaccination is missed, contact your provider to reschedule as soon as possible to ensure protection before travel. What side effects can this medication cause? Common side effects include tiredness, headache, abdominal pain, nausea, vomiting, diarrhea, and lack of appetite. Serious reactions are rare but can include severe allergic reactions with difficulty breathing or swelling. Seek urgent care for signs of a severe allergic reaction."
Cholestyramine Resin,"Why is this medication prescribed? Cholestyramine is a bile acid sequestrant used to lower LDL cholesterol and to treat itching associated with partial bile duct obstruction. It is also sometimes used to treat diarrhea due to bile acid malabsorption. How should this medicine be used? Mix the powder thoroughly with water or a noncarbonated beverage or soft food and drink or eat the entire mixture. Do not take the powder dry. Take it one to two times daily with meals or as directed. Take other medications at least one hour before or four to six hours after cholestyramine to avoid interactions. What special precautions should I follow? Tell your doctor if you have bowel obstruction, severe constipation, difficulty swallowing, phenylketonuria if using products containing phenylalanine, high triglycerides, or vitamin deficiencies. This medicine can raise triglycerides, bind many drugs, and reduce absorption of fat-soluble vitamins A, D, E, K and folate. Your provider may recommend vitamin supplementation at a different time of day. Use caution with warfarin, digoxin, thyroid hormone, diuretics, and many other drugs due to binding interactions. Maintain good dental hygiene because some formulations contain sugar and prolonged contact may affect teeth. What special dietary instructions should I follow? Follow a cholesterol-lowering diet as prescribed. Increase dietary fiber and fluid intake to reduce constipation unless instructed otherwise. Take vitamin supplements at a separate time from cholestyramine if advised. What should I do if I forget a dose? Take it as soon as you remember unless it is near the time for your next dose. If it is close to the next dose, skip the missed dose and resume your regular schedule. Do not take two doses at once. What side effects can this medication cause? Common side effects include constipation, bloating, gas, abdominal discomfort, nausea, and heartburn. Long-term use can cause fat-soluble vitamin deficiencies leading to easy bruising or bleeding, and it can raise triglycerides. Rarely it can cause intestinal obstruction or severe constipation. Contact your clinician if you have severe abdominal pain, no bowel movements, or signs of vitamin deficiency."
Choline Magnesium Trisalicylate,"Important warning: Salicylates can cause serious bleeding from the stomach or intestines and should not be used in children or teenagers with viral illnesses due to the risk of Reye’s syndrome. Avoid use late in pregnancy and use caution with other medicines that increase bleeding risk. Why is this medication prescribed? Choline magnesium trisalicylate is a nonacetylated salicylate used to relieve pain, fever, and inflammation in conditions such as osteoarthritis, rheumatoid arthritis, and other musculoskeletal disorders. How should this medicine be used? Take it by mouth exactly as directed, usually two to three times daily. Take with food or milk to reduce stomach upset and drink plenty of fluids. Do not take more than prescribed and avoid taking other salicylates or NSAIDs unless your clinician instructs you. What special precautions should I follow? Tell your doctor if you have a history of stomach ulcers or bleeding, bleeding disorders, aspirin or NSAID allergy, asthma or nasal polyps, kidney or liver disease, high blood pressure, heart failure, gout, or if you are pregnant or breastfeeding. This medicine may interact with anticoagulants, antiplatelet agents, other NSAIDs, corticosteroids, methotrexate, sulfonylureas, diuretics, and alcohol. Stop and seek care for stomach pain, black stools, vomiting blood, unusual bruising or bleeding, ringing in the ears, confusion, or severe allergic reactions. What special dietary instructions should I follow? Take with food or milk to minimize stomach upset and avoid alcohol, which increases stomach bleeding risk. Maintain adequate hydration. What should I do if I forget a dose? Take it as soon as you remember unless it is near the time for your next dose. If it is close to the next dose, skip the missed dose and resume your regular schedule. Do not take two doses at once. What side effects can this medication cause? Common side effects include stomach upset, heartburn, nausea, dizziness, and mild ringing in the ears. Serious side effects include gastrointestinal bleeding or ulcers, severe allergic reactions, kidney problems with decreased urine, liver problems, and salicylate toxicity with confusion, vomiting, or persistent tinnitus. Children and teens recovering from viral infections are at risk of Reye’s syndrome and must not use this medication."
Ciclesonide Nasal Spray,"Why is this medication prescribed? Ciclesonide nasal spray is a corticosteroid used to treat nasal symptoms of seasonal and perennial allergic rhinitis such as congestion, sneezing, and runny nose. How should this medicine be used? Use the spray in the nose once daily as directed. Prime the spray before first use and if not used for several days. Gently blow your nose, aim slightly away from the nasal septum, and avoid spraying into the eyes. Clean the nozzle regularly. Use it consistently for best effect; some people notice improvement within hours, but full benefit may take several days. What special precautions should I follow? Tell your doctor about recent nasal surgery, ulcers, or trauma, glaucoma or cataracts, infections including tuberculosis or untreated fungal, bacterial, or viral infections, and if you are pregnant or breastfeeding. Long-term high-dose use can rarely cause systemic steroid effects including slowed growth in children, adrenal suppression, and increased risk of infection. Report persistent nosebleeds, nasal irritation, white patches in the nose or throat, or vision changes. Avoid exposure to chickenpox or measles and contact your clinician if exposed. What special dietary instructions should I follow? No specific dietary restrictions are required. What should I do if I forget a dose? Use it as soon as you remember. If it is close to the time of your next dose, skip the missed dose and resume your regular schedule. Do not use extra sprays to make up for a missed dose. What side effects can this medication cause? Common side effects include nosebleeds, nasal irritation or dryness, sore throat, cough, and headache. Less common effects include fungal infections of the nose or throat, loss or change of taste or smell, and, rarely, perforation of the nasal septum or glaucoma or cataracts with long-term use."
Ciclesonide Oral Inhalation,"Why is this medication prescribed? Ciclesonide inhalation is an inhaled corticosteroid used as maintenance therapy to prevent and control asthma symptoms. It is not a rescue medicine for sudden breathing problems. How should this medicine be used? Inhale by mouth as directed, usually twice daily. Prime the inhaler before first use and if not used for a period specified in the product guide. Use proper inhalation technique and rinse your mouth with water and spit after each dose to reduce the risk of oral thrush. Do not use this medicine to treat acute asthma attacks; use your quick-relief inhaler as directed for sudden symptoms. Do not stop systemic steroids abruptly; taper only under medical supervision. What special precautions should I follow? Tell your doctor about glaucoma or cataracts, osteoporosis, adrenal or pituitary problems, active or chronic infections including tuberculosis, liver disease, and all medicines you take, including strong CYP3A4 inhibitors such as ketoconazole or ritonavir. Report worsening breathing, paradoxical bronchospasm immediately after inhalation, signs of infection, white patches in the mouth, hoarseness, or vision changes. Children on long-term therapy should have growth monitored. What special dietary instructions should I follow? No specific dietary restrictions are required. Ensure adequate calcium and vitamin D intake if advised by your clinician for bone health. What should I do if I forget a dose? Inhale it as soon as you remember unless it is close to the next scheduled dose. If it is near the next dose, skip the missed dose and resume the regular schedule. Do not take extra puffs to make up for a missed dose. What side effects can this medication cause? Common side effects include throat irritation, hoarseness, cough, headache, and oral thrush. Serious side effects include paradoxical bronchospasm, adrenal suppression, slowed growth in children, increased infection risk, and glaucoma or cataracts with long-term use. Seek urgent care if you have sudden worsening wheeze or breathing difficulty after use."
Ciclopirox Topical,"Why is this medication prescribed? Ciclopirox is an antifungal medicine used topically to treat fungal skin infections such as athlete’s foot, jock itch, and ringworm, seborrheic dermatitis of the scalp with the shampoo, and fungal nail infections with the nail lacquer. How should this medicine be used? For creams, gels, or lotions, apply a thin layer to the affected area and surrounding skin once or twice daily as directed on clean, dry skin and continue for the full course even if symptoms improve. For the shampoo, apply to the scalp, lather, leave on for several minutes, then rinse, using as directed. For the nail lacquer, apply once daily to the affected nails and surrounding skin, remove with alcohol once weekly, and trim nails as directed. Avoid contact with eyes, mouth, and inside the nose, and do not use on broken skin unless instructed. What special precautions should I follow? For external use only. Tell your doctor about any allergies to topical products and if you have diabetes, immune system problems, or poor circulation, especially when treating nail infections. Stop use and seek medical advice if irritation, swelling, or signs of allergic reaction occur or if the infection does not improve after the recommended treatment period. The nail lacquer is flammable; keep away from heat or open flame and avoid using cosmetic nail polish unless directed. What special dietary instructions should I follow? No special dietary instructions are required. What should I do if I forget a dose? Apply it as soon as you remember. If it is near the time for the next application, skip the missed dose and continue with your regular schedule. Do not apply extra to make up for a missed dose. For nail lacquer, apply the next scheduled coat and continue the usual routine. What side effects can this medication cause? Common side effects include mild burning, stinging, redness, itching, or dryness at the application site. Less common effects include rash, discoloration of the nail with the lacquer, and allergic contact dermatitis. Seek medical attention for severe irritation or signs of an allergic reaction."
